都市ID,都市名
2130741,"Abashiri"
2113164,"Abiko"
2130732,"Abira"
1865721,"Ageki"
1865720,"Agematsu"
1865714,"Ageoshimo"
2130723,"Aibetsu"
1865694,"Aichi-ken"
1865661,"Aioi"
6822212,"Aisai"
2130708,"Ajigasawa"
2130705,"Akabira"
2130700,"Akaigawa"
2113136,"Akanuma"
1847966,"Akashi"
1865485,"Akashichō"
1865449,"Aki"
6822131,"Akikawa"
2113124,"Akita"
2113126,"Akita"
2113719,"Akita Shi"
2130677,"Akkeshi"
1865404,"Akuchi"
1865401,"Akune"
1865387,"Amagasaki"
1865375,"Amagi"
2113115,"Ami"
1865312,"Anamizu"
1865309,"Anan"
1865294,"Anjō"
1865290,"Annaka"
1865264,"Aoichō"
1865256,"Aoki"
2130658,"Aomori"
2130656,"Aomori-ken"
2114152,"Aone-onsen"
1865207,"Arai"
1865110,"Arimatsu"
1865103,"Arita"
1865090,"Asagaya-minami"
1865086,"Asahi"
2113077,"Asahi"
6416230,"Asahi"
6697514,"Asahi"
2130629,"Asahikawa"
1907299,"Asaka"
2130612,"Ashibetsu"
1865006,"Ashihara"
1865005,"Ashikaga"
1864985,"Ashiya"
2130603,"Ashoro"
1864948,"Ataka-shimmachi"
1864945,"Atami"
1847963,"Atsugi"
1864894,"Awara"
1864878,"Awatabe"
1847979,"Awazuchō"
1864874,"Aya"
1864873,"Ayabe"
6941611,"Babagasu"
1864821,"Bakurochō"
1857689,"Bandaichō"
2130574,"Bannaguro"
1864771,"Bentenchō"
1864750,"Beppu"
2130567,"Betsukai"
2130534,"Bibai"
2130531,"Biei"
2128490,"Bifuka"
2130518,"Biratori"
2045397,"Buhama"
1851170,"Bungo-Takada-shi"
8198709,"Buzen"
1864660,"Buzen-shi"
1864655,"Chabana"
1864652,"Chatan"
2113015,"Chiba"
2113014,"Chiba-ken"
1864637,"Chichibu"
1864624,"Chigasaki"
1864572,"Chikushino-shi"
1864557,"Chino"
1864549,"Chiryū"
2130452,"Chitose"
1864529,"Chiyoda-ku"
1864523,"Chizu"
6419719,"Chuo"
1864518,"Chōfu"
2113001,"Chōnan"
1864470,"Daidō"
2112989,"Daigo"
1864427,"Daisen"
1864416,"Daitōchō"
2130421,"Date"
1864381,"Den’enchōfu"
1864338,"Dōshi"
2130404,"Ebetsu"
1864263,"Echigawa"
1864240,"Edome-naka"
2112963,"Edosaki"
1864237,"Egashira"
1864231,"Egota"
1864226,"Ehime"
1864180,"Enzan"
1864154,"Fuchu"
1864155,"Fuchūchō"
1864134,"Fuji"
1864132,"Fujieda"
7281819,"Fujikawaguchiko"
1907157,"Fujino"
1864105,"Fujinomiya"
1864098,"Fujioka"
1864099,"Fujioka"
2130337,"Fujisaki"
1864092,"Fujisawa"
2112940,"Fujishiro"
2130332,"Fukagawa"
2038800,"Fukaura"
1864031,"Fukayachō"
1864025,"Fukiage-fujimi"
1864009,"Fukuchiyama"
1863997,"Fukuechō"
1863983,"Fukui"
1863985,"Fukui-shi"
1863973,"Fukumitsu"
1863967,"Fukuoka"
1863958,"Fukuoka Prefecture"
1863953,"Fukura"
1863945,"Fukuroi"
2112923,"Fukushima"
2112922,"Fukushima-ken"
1863917,"Fukuyama"
2130316,"Funadomari"
2112917,"Funagata"
2112913,"Funaishikawa"
1863866,"Funato"
2112903,"Funehikimachi-funehiki"
1863837,"Furugen"
1863834,"Furuichi"
1863836,"Furuichi"
2112899,"Furukawa"
2112892,"Fusa"
1863788,"Fushimi"
1907148,"Fussa"
2112874,"Futto"
1863713,"Futtsu"
1863693,"Gamagōri"
1863683,"Ganeko"
1863640,"Gifu"
1863641,"Gifu-shi"
1863627,"Ginowan"
1863625,"Ginoza"
1863614,"Gobō"
1863592,"Gojō"
2112860,"Gojōnome"
1863541,"Gose"
1863540,"Gosen"
2131612,"Goshogawara"
1863528,"Gotenba"
1863516,"Goyuchō"
6822219,"Gujō"
1863501,"Gunma-ken"
1863495,"Gushikawa"
1863482,"Gyōda"
1863611,"Gōdo"
1863521,"Gōtsuchō"
1863475,"Habu"
2130209,"Hachimanchō"
2130203,"Hachinohe"
2130204,"Hachinohe"
1863440,"Hachiōji"
1863431,"Hadano"
1894628,"Haebaru"
1863418,"Hagi"
1863410,"Hagiwara"
1863398,"Haibara-akanedai"
1863385,"Hainuzuka"
2130188,"Hakodate"
1863357,"Hakone"
1863356,"Hakonegasaki"
1863341,"Hakui"
1854585,"Hama"
1863310,"Hamada"
1863293,"Hamakita"
1863289,"Hamamatsu"
1863282,"Hamanaka"
1863279,"Hamanoichi"
1863276,"Hamanose"
2131651,"Hamatonbetsu"
1863250,"Hanabatachō"
2112823,"Hanamaki"
2112818,"Hanawa"
2130146,"Hanawa"
1863219,"Hanawadamachi"
1863218,"Hanazawa"
1863209,"Handa"
1863183,"Hannō"
1863173,"Hanyū"
1863161,"Hara"
1863140,"Harigaya"
1863130,"Harisakichō"
2112802,"Hasaki"
1863082,"Hashimoto"
2130135,"Hashimoto"
1863077,"Hashio"
1907123,"Hasuda"
1863051,"Hatabuchō"
1863023,"Hatogaya-honchō"
1863018,"Hatsukaichi"
1862998,"Hayakawa"
1862992,"Hayama"
1862978,"Hayashi"
1862971,"Hayashima"
1862944,"Heda"
1862912,"Hekinan"
2130116,"Hidaka"
1862855,"Higashi"
6822110,"Higashi-Hiroshima"
1862752,"Higashi-ōsaka"
1862845,"Higashiasahimachi"
1862818,"Higashiboridōri"
2130106,"Higashikawa"
1862782,"Higashimachi"
2112761,"Higashimiyanome"
7279570,"Higashimurayama"
2112758,"Higashine"
1862739,"Higashishinagawa"
1862689,"Hiji"
1896348,"Hikari"
1862636,"Hikone"
1862633,"Hikosan"
1862627,"Himeji"
1862612,"Himimachi"
1862599,"Hino"
1862601,"Hino"
2130075,"Hinode"
1862588,"Hinokage"
1862569,"Hioki"
1862555,"Hirado"
1862554,"Hiradogoyamachi"
1862539,"Hirakata"
1862540,"Hirakata"
2129464,"Hiranai"
1862513,"Hirao"
1862505,"Hirara"
1862471,"Hiratachō"
1862462,"Hiratsuka"
1862444,"Hirokawa"
2130061,"Hiroo"
2130057,"Hirosaki"
1860380,"Hirosechō-kamiyamasa"
1862415,"Hiroshima"
1862413,"Hiroshima-ken"
1862389,"Hisai-motomachi"
1862373,"Hita"
2112708,"Hitachi"
6822096,"Hitachi-Naka"
1862352,"Hitoyoshi"
2112692,"Hobaramachi"
2130037,"Hokkaido"
2112688,"Hokota"
2130032,"Hokuryū"
1863905,"Honchō"
2127588,"Honchō"
2127635,"Honchō"
2128333,"Honchō"
2129003,"Honchō"
1862230,"Hondomachi-hondo"
2130024,"Hongō"
1862198,"Honjō"
1862197,"Honjōchō"
1848445,"Honmachi"
2128215,"Honmachi"
2130019,"Hontomari"
1862143,"Horinouchi"
2130001,"Horokanai"
2129984,"Horonobe"
1862098,"Hotaka"
1862047,"Hyōgo"
1862302,"Hōfu"
1862291,"Hōjō"
1926142,"Hōjō"
1862292,"Hōjōchō-hōjō"
1862136,"Hōryūji"
1862034,"Ibara"
1862033,"Ibaraki"
2112669,"Ibaraki"
1862010,"Ibusuki"
1864815,"Ichibanchō"
2112664,"Ichihara"
1861968,"Ichikawa"
2129961,"Ichinohe"
1861949,"Ichinomiya"
1861950,"Ichinomiyachō"
1853150,"Ichinomiyamachi-sakanashi"
2112656,"Ichinoseki"
1861903,"Ifukugata"
1861901,"Iga-shi"
1861864,"Iida"
1861853,"Iijima"
1861838,"Iiyama"
1861835,"Iizuka"
1861825,"Ijūin"
1861816,"Ikaruga"
1926136,"Ikazaki"
1861793,"Ikeda"
1861795,"Ikeda"
1861797,"Ikeda"
1861799,"Ikedachō"
1861305,"Ikedachō-itano"
1861749,"Ikoma"
1861699,"Imaichi"
1861677,"Imarichō-kō"
1861661,"Imazu"
1861641,"Ina"
1861642,"Ina"
6419751,"Inage"
6822108,"Inashiki"
2112615,"Inawashiro"
1861602,"Inazawa"
1861586,"Innoshima"
1861584,"Ino"
1861528,"Inuyama"
1861464,"Isahaya"
1861454,"Isawa"
1861450,"Ise"
1861449,"Isehara"
1861436,"Isesaki"
1861598,"Ishidachō-indōjiura"
1861416,"Ishigaki"
1861406,"Ishige"
1861400,"Ishii"
2129909,"Ishikari"
1861393,"Ishikawa"
2112583,"Ishikawa"
1861387,"Ishikawa-ken"
1861383,"Ishiki"
2112576,"Ishinomaki"
2112571,"Ishioka"
2112569,"Ishiwaki"
2112562,"Isomura"
1861336,"Isoshi"
2112555,"Itako"
1861314,"Itakura"
1861310,"Itami"
2129884,"Itayanagi"
1861296,"Itazuke"
1861285,"Itoigawa"
1861280,"Itoman"
1861261,"Itsukaichi"
1861290,"Itō"
1861244,"Iwade"
1861223,"Iwai"
2112543,"Iwaizumi"
2112539,"Iwaki"
1861212,"Iwakuni"
1861207,"Iwakura"
2129870,"Iwamizawa"
2129868,"Iwanai"
1861189,"Iwanogawa"
2112527,"Iwanuma"
2112521,"Iwase"
1861171,"Iwata"
2112518,"Iwate"
1861164,"Iwatsuki"
2112551,"Iwawada"
1926006,"Iyo"
1861124,"Izena"
1861116,"Izuhara"
1861107,"Izumi"
1861108,"Izumi"
1861095,"Izumiōtsu"
1861084,"Izumo"
1861060,"Japan"
1861049,"Jigozen"
2112498,"Jinmachi"
1861006,"Jizōdō"
6825489,"Jōetsu"
1860941,"Jūrokuban"
1860887,"Kachikawa"
1860876,"Kado"
1860875,"Kadogawa"
1860871,"Kadoma"
2112473,"Kadonowakichō"
1860847,"Kagamizu"
1860841,"Kagasuno"
1860834,"Kagawa-ken"
1860827,"Kagoshima"
1860825,"Kagoshima-ken"
2113698,"Kahoku"
1860797,"Kaigandōri"
1860785,"Kainan"
1897590,"Kaita"
2129791,"Kaiyō"
1860765,"Kaizuka"
1860750,"Kajiki"
1860735,"Kakamigahara"
1860728,"Kakegawa"
1860704,"Kakogawachō-honmachi"
2112455,"Kakuda"
2112454,"Kakunodatemachi"
6822181,"Kamagaya-shi"
2112444,"Kamaishi"
1860672,"Kamakura"
1860649,"Kameari"
1860648,"Kameda-honchō"
1860635,"Kameoka"
1860626,"Kameyama"
1860483,"Kami-nagarekawachō"
1907125,"Kamifukuoka"
8125829,"Kamigyō-ku"
1860588,"Kamigōri"
1860563,"Kamiichi"
2129766,"Kamiiso"
2129761,"Kamikawa"
2129752,"Kamikita Kōzan"
1860521,"Kamikōjaku"
1857659,"Kamimaruko"
1860458,"Kaminokawa"
2112409,"Kaminoyama"
1860437,"Kamirenjaku"
1860341,"Kamo"
2129696,"Kamoenai"
1860335,"Kamogatachō-kamogata"
2112297,"Kamogawa"
1860321,"Kamojimachō-jōgejima"
1860310,"Kamonomiya"
1860291,"Kanagawa"
2130389,"Kanaura"
1860256,"Kanaya"
1860250,"Kanayama"
1860243,"Kanazawa"
1860244,"Kanazawachō"
1860239,"Kanazu"
1860234,"Kanda"
2112370,"Kanegasaki"
1860211,"Kanekomachi"
1860191,"Kanie"
1860176,"Kannabechō-yahiro"
1860112,"Kanoya"
1860098,"Kanuma"
1860095,"Kanzakimachi-kanzaki"
1860122,"Kan’onjichō"
2112354,"Karasuyama"
1860063,"Karatsu"
2129653,"Kareizawa"
1860039,"Kariwa"
1860034,"Kariya"
1865412,"Kariya"
1860031,"Karochō"
2129646,"Karumai"
2112343,"Kasama"
1859998,"Kasamatsuchō"
1859990,"Kasaoka"
1859964,"Kaseda-shirakame"
1859952,"Kashihara"
1859951,"Kashihara-shi"
1859941,"Kashima"
1860748,"Kashima-shi"
1859924,"Kashiwa"
1859914,"Kashiwano"
1859913,"Kashiwara"
1859908,"Kashiwazaki"
1859900,"Kasuga"
6822147,"Kasuga"
1859895,"Kasugabaru"
1859891,"Kasugai"
1859884,"Kasukabe"
2112328,"Kasumichō"
1859842,"Katase"
2112319,"Katori-shi"
1863426,"Katsuren-haebaru"
2112312,"Katsuta"
2112309,"Katsuura"
1859765,"Katsuyama"
6696932,"Kawage"
1859740,"Kawagoe"
1859730,"Kawaguchi"
1859716,"Kawai"
2129757,"Kawakami"
1859687,"Kawamoto"
1859675,"Kawanishi"
1926116,"Kawanoechō"
1907225,"Kawara"
1859642,"Kawasaki"
1859647,"Kawasaki"
6415253,"Kawasakichō"
1859619,"Kawatana"
1859586,"Kazo"
6691616,"Kihoku-chō"
1852685,"Kiire-sesekushichō"
2129562,"Kikonai"
1859492,"Kikuchi"
1859479,"Kikuna"
1859472,"Kimiidera"
1907307,"Kimitsu"
1859462,"Kin"
1859420,"Kiragawachō"
1859405,"Kiryū"
1859400,"Kisai"
1859393,"Kisarazu"
1859383,"Kishiwada"
6822204,"Kita-Akita"
2112209,"Kita-sannomaru"
1859262,"Kita-toyama"
1859363,"Kitadaishin"
2112234,"Kitagama"
1859335,"Kitahama"
2130054,"Kitahiroshima"
2112232,"Kitaibaraki"
2112227,"Kitakami"
1859319,"Kitakata"
2112216,"Kitakubo"
1859307,"Kitakyushu"
2129537,"Kitami"
2129530,"Kitanuma"
6419789,"Kitasode"
1859234,"Kitsuki"
1859224,"Kiyama"
1858707,"Ko-shinozu"
1859181,"Kobaruyama"
1859175,"Kobayashi"
1859171,"Kobe"
1859146,"Kochi"
1859133,"Kochi Prefecture"
1859129,"Kochino"
1859116,"Kodaira"
1859113,"Kodamachō-kodamaminami"
2129501,"Koetoi"
1859093,"Koga"
1859094,"Koga"
1859088,"Koganei"
2112182,"Kogota"
2112176,"Koibuchi"
1858972,"Kokubu-matsuki"
1858964,"Kokubunji"
1907306,"Komae"
1858937,"Komagatamachi"
1858926,"Komaki"
1858910,"Komatsu"
1926108,"Komatsu"
1858902,"Komatsushimachō"
1858866,"Komono"
1858858,"Komoro"
2112144,"Koori"
1858756,"Kosai-shi"
1858729,"Koshigaya"
2129447,"Koshimizu"
1858667,"Kotohira"
1907255,"Koyasu"
1858591,"Kozakai-chō"
6419788,"Kubota"
1858498,"Kudamatsu"
1858492,"Kudoyama"
1858486,"Kugamachi"
1858480,"Kugayama"
2129427,"Kuji"
1858445,"Kukichūō"
1858428,"Kumagaya"
